Date,Sales_all,Bottle_Profit ,Bottles_Sold,Volume_Sold 
"January 3, 2012",1012494,46086,78323,73865
"January 4, 2012",860054,42153,69482,64713
"January 5, 2012",940195,39480,77090,64551
"January 9, 2012",933836,43073,77165,69317
"January 10, 2012",900078,39121,71777,68094
"January 11, 2012",773740,33952,64793,61227
"January 12, 2012",927339,37329,81901,69135
"January 16, 2012",968647,37580,78116,72042
"January 17, 2012",921106,39716,74057,72386
"January 18, 2012",850387,34194,67758,67286
"January 19, 2012",1021176,37835,86150,76554
"January 23, 2012",985418,36819,79746,73292
"January 24, 2012",1013018,41088,80759,80354
"January 25, 2012",764709,34836,66172,64383
"January 26, 2012",1016555,39688,85989,76318
"January 27, 2012",796,102,85,73
"January 30, 2012",986697,38337,81748,77676
"January 31, 2012",1039951,43262,81120,80820
"February 1, 2012",906995,38199,74209,71807
"February 2, 2012",1218272,44122,98334,86468
"February 6, 2012",1165231,40756,93693,88958
"February 7, 2012",1128347,48208,88622,86896
"February 8, 2012",986934,40619,81769,79263
"February 9, 2012",1150050,43281,93848,80803
"February 13, 2012",1039052,39346,83586,79644
"February 14, 2012",1016830,43629,80105,78605
"February 15, 2012",962829,38906,78104,79939
"February 16, 2012",1132707,41036,92465,82448
"February 20, 2012",1135351,40989,91619,87630
"February 21, 2012",1105654,46032,87011,86186
"February 22, 2012",998422,39878,78569,77243
"February 23, 2012",1167090,42993,95602,84006
"February 27, 2012",1070446,39519,86971,83218
"February 28, 2012",1028813,43627,80662,80964
"February 29, 2012",903083,37852,72655,72486
"March 1, 2012",1104030,40943,92986,78973
"March 5, 2012",1140723,42795,90028,84454
"March 6, 2012",1169224,48097,89709,87380
"March 7, 2012",835543,41459,66507,62023
"March 8, 2012",1222265,45070,99518,83497
"March 9, 2012",2886,136,231,165
"March 12, 2012",1179680,42506,90708,85626
"March 13, 2012",1158658,49755,89231,84859
"March 14, 2012",977886,42635,75493,72223
"March 15, 2012",1250721,45792,103089,90731
"March 16, 2012",1051,7,132,41
"March 19, 2012",1030487,42228,82580,78870
"March 20, 2012",1102469,45666,88567,84470
"March 21, 2012",1046650,38279,83990,84605
"March 22, 2012",1066903,43231,89255,77223
"March 26, 2012",1001267,39425,81563,76768
"March 27, 2012",1022504,44369,82476,80128
"March 28, 2012",821054,37209,66102,65251
"March 29, 2012",1005545,39867,86500,75586
"April 2, 2012",1142874,44055,91064,87234
"April 3, 2012",1359746,51068,106523,102255
"April 4, 2012",1080256,42738,87226,83218
"April 5, 2012",1330857,44595,107880,98095
"April 9, 2012",1169077,43095,90831,85173
"April 10, 2012",1269592,49590,97931,93402
"April 11, 2012",1187376,40311,88659,86541
"April 12, 2012",1232873,45649,101882,89193
"April 16, 2012",1154192,42612,91458,88330
"April 17, 2012",1195865,48284,96623,94541
"April 18, 2012",1116241,40824,84637,88341
"April 19, 2012",1182052,44625,96114,84511
"April 23, 2012",1042706,40770,82926,77893
"April 24, 2012",1199155,49463,94600,90880
"April 25, 2012",924660,39784,76000,73971
"April 26, 2012",1117872,41773,95334,81819
"April 27, 2012",36212,2425,1984,512
"April 30, 2012",1263291,44545,97242,93657
"May 1, 2012",1212780,50153,97991,93188
"May 2, 2012",1003064,41630,79341,80057
"May 3, 2012",1322832,48556,109464,99484
"May 7, 2012",1220915,48334,96307,94544
"May 8, 2012",1200462,51423,96707,92506
"May 9, 2012",970188,43560,79279,78249
"May 10, 2012",1211077,44223,99651,89131
"May 11, 2012",324,9,12,9
"May 14, 2012",1072931,43054,87599,85459
"May 15, 2012",1213047,48971,97721,97060
"May 16, 2012",1057188,42380,84065,82672
"May 17, 2012",1225797,43789,99619,91627
"May 21, 2012",1177429,45131,92968,90395
"May 22, 2012",1418038,56901,112020,108862
"May 23, 2012",1059973,46611,83171,86171
"May 24, 2012",1340163,51298,110699,98853
"May 25, 2012",872450,32791,68931,68007
"May 29, 2012",1245607,50796,97578,97121
"May 30, 2012",1011376,45155,80948,79830
"May 31, 2012",1357881,46932,108104,96208
"June 1, 2012",1608,56,60,62
"June 4, 2012",1538532,53227,117502,110614
"June 5, 2012",1292638,50419,100756,96365
"June 6, 2012",1311727,43911,93699,96239
"June 7, 2012",1218139,45558,102021,89521
"June 11, 2012",1440889,47522,104694,101159
"June 12, 2012",1315053,53014,105080,98684
"June 13, 2012",1546637,42757,106004,108622
"June 14, 2012",1217511,46538,99682,87584
"June 18, 2012",1316963,44290,97741,97669
"June 19, 2012",1410201,50920,105215,104829
"June 20, 2012",910995,43338,74018,70848
"June 21, 2012",1165311,44971,96289,83398
"June 22, 2012",5482,212,395,346
"June 25, 2012",1404033,44946,105653,106075
"June 26, 2012",1850000,60241,140347,141055
"June 27, 2012",1379518,50016,105581,109578
"June 28, 2012",1508344,55724,126966,113966
"June 29, 2012",25321,1121,1731,1412
"July 2, 2012",1231435,49158,98364,92301
"July 3, 2012",1171511,52481,91754,90022
"July 5, 2012",1026464,46234,80690,78425
"July 6, 2012",1086736,45494,89709,78677
"July 9, 2012",1209039,46281,94678,89022
"July 10, 2012",1250885,53571,100949,95621
"July 11, 2012",926597,41272,76171,73463
"July 12, 2012",1091996,42499,92774,78352
"July 16, 2012",1239309,43780,96135,93107
"July 17, 2012",1230606,49146,96472,92057
"July 18, 2012",1137971,43595,85491,83670
"July 19, 2012",1267423,44957,101862,90878
"July 20, 2012",674,2,120,120
"July 23, 2012",1201979,45936,95133,88754
"July 24, 2012",1102185,48009,88233,84285
"July 25, 2012",958471,42068,79060,77229
"July 26, 2012",1030438,41883,87081,74368
"July 27, 2012",3280,145,278,311
"July 30, 2012",1223243,42437,91886,89751
"July 31, 2012",1307123,55909,102288,98350
"August 1, 2012",890090,43512,74015,70737
"August 2, 2012",1195255,43314,98298,88136
"August 3, 2012",576,19,30,26
"August 6, 2012",1147835,45345,90801,88439
"August 7, 2012",1283068,54112,103962,98753
"August 8, 2012",981060,45804,80371,76241
"August 9, 2012",1176787,47229,97591,82906
"August 13, 2012",1195676,47599,96337,89849
"August 14, 2012",1127417,47932,89675,88893
"August 15, 2012",954956,42697,77147,76854
"August 16, 2012",1166449,46288,96575,83621
"August 20, 2012",1085724,44087,85822,82648
"August 21, 2012",1159559,50267,93780,89087
"August 22, 2012",1013039,45219,82604,81140
"August 23, 2012",1135299,44862,94245,80391
"August 27, 2012",1166197,46577,91246,86171
"August 28, 2012",1451140,59426,112290,108777
"August 29, 2012",1118282,48569,89571,87025
"August 30, 2012",1356272,49565,107866,96232
"August 31, 2012",926601,31971,72468,70707
"September 4, 2012",1454309,50706,105750,104177
"September 5, 2012",1103037,48025,84679,80125
"September 6, 2012",1486810,51252,116947,103226
"September 7, 2012",152,4,12,5
"September 10, 2012",1618074,54284,121382,115762
"September 11, 2012",1430525,52507,106752,102174
"September 12, 2012",1321205,43972,95508,96518
"September 13, 2012",1232001,44781,98322,84936
"September 14, 2012",855,31,44,36
"September 17, 2012",1133465,42163,87348,81769
"September 18, 2012",1183566,48169,91770,85175
"September 19, 2012",872743,41224,70749,65193
"September 20, 2012",1115749,43716,90347,77036
"September 21, 2012",921,42,77,114
"September 24, 2012",1039467,41251,80050,75478
"September 25, 2012",1125511,46992,88115,83228
"September 26, 2012",1023116,39833,82157,79830
"September 27, 2012",1046948,41740,88366,74113
"October 1, 2012",1272966,44595,95858,91303
"October 2, 2012",1512145,53401,112156,104785
"October 3, 2012",1195072,45135,90199,88791
"October 4, 2012",1453418,47378,112516,99906
"October 5, 2012",1954824,14293,131743,159174
"October 8, 2012",1436466,46208,107592,104177
"October 9, 2012",1474294,53615,113442,108362
"October 10, 2012",1240659,43940,93695,92504
"October 11, 2012",1426090,46418,111281,98809
"October 12, 2012",1632340,13487,105399,117513
"October 15, 2012",1408856,44304,102274,98863
"October 16, 2012",1472465,49230,109836,105893
"October 17, 2012",1576441,45471,112245,109338
"October 18, 2012",1375042,46247,108733,95812
"October 19, 2012",1921336,10425,114979,138584
"October 22, 2012",1225686,43395,91981,88755
"October 23, 2012",1214989,49783,95293,90224
"October 24, 2012",1471444,44030,103826,105617
"October 25, 2012",1270153,45463,102816,88441
"October 26, 2012",1846024,9891,119266,131490
"October 29, 2012",1204271,44069,91963,87905
"October 30, 2012",1197675,46039,93689,87215
"October 31, 2012",931295,42360,75789,69339
"November 1, 2012",1023251,42892,85820,69732
"November 2, 2012",198,3,24,12
"November 5, 2012",1080015,43922,84234,76171
"November 6, 2012",1170085,50439,92968,84099
"November 7, 2012",1092897,45145,84563,79536
"November 8, 2012",1271037,46568,102530,84828
"November 12, 2012",1202868,43834,92370,85764
"November 13, 2012",1122438,47055,88600,83105
"November 14, 2012",1088525,44691,85037,78847
"November 15, 2012",1364467,47873,107050,88742
"November 16, 2012",856904,33402,66593,63510
"November 17, 2012",1080277,44591,83767,79023
"November 19, 2012",1062086,37495,74635,71429
"November 20, 2012",1087901,42902,88788,72796
"November 21, 2012",47406,2659,3904,3165
"November 26, 2012",1439203,52997,105437,97697
"November 27, 2012",1440212,58374,107947,96952
"November 28, 2012",1075135,48020,84695,76023
"November 29, 2012",1273610,48659,103119,85305
"December 3, 2012",1487538,45629,106954,99462
"December 4, 2012",1190413,51577,92720,85416
"December 5, 2012",1017237,45820,77313,72466
"December 6, 2012",1270932,46447,100181,82749
"December 10, 2012",1528431,49403,113757,105309
"December 11, 2012",1559674,54943,112294,107777
"December 12, 2012",1745333,49275,119890,118635
"December 13, 2012",1536579,49370,109461,93674
"December 14, 2012",1913,128,125,119
"December 17, 2012",1696520,56548,115404,107162
"December 18, 2012",1660066,68321,124836,114858
"December 19, 2012",1528877,61853,110518,104193
"December 20, 2012",1552565,58680,119780,102421
"December 21, 2012",1217196,43266,85793,80943
"December 24, 2012",1634366,71032,120922,113324
"December 26, 2012",1266271,59849,93534,87370
"December 27, 2012",1602322,64495,121935,103321
"December 28, 2012",1360167,53571,97440,90888
"December 31, 2012",1208182,51097,90455,82816
"January 2, 2013",826294,42650,64864,59327
"January 3, 2013",1145793,44760,92158,77461
"January 7, 2013",1139530,47271,90031,82528
"January 8, 2013",1042755,48326,83705,76871
"January 9, 2013",818801,36113,65175,61947
"January 10, 2013",945300,36845,81227,67325
"January 14, 2013",1036501,39988,84499,78515
"January 15, 2013",943113,43075,79282,73027
"January 16, 2013",849009,36989,69803,67745
"January 17, 2013",1018634,38606,87346,74326
"January 21, 2013",992762,38483,81043,75748
"January 22, 2013",1020891,45054,81977,77896
"January 23, 2013",886708,37562,71728,68469
"January 24, 2013",1118494,42161,91774,79286
"January 25, 2013",1974,18,72,54
"January 28, 2013",1073388,41022,85978,80572
"January 29, 2013",1053057,45649,87362,82055
"January 30, 2013",851115,38128,67374,65780
"January 31, 2013",1074733,40413,87844,77157
"February 4, 2013",1173356,42184,87182,86907
"February 5, 2013",1176899,48766,90222,89497
"February 6, 2013",979189,41737,77478,75178
"February 7, 2013",1284407,46135,101134,87012
"February 8, 2013",1131,16,96,72
"February 11, 2013",1111756,40822,82246,77472
"February 12, 2013",1139808,47448,87337,83978
"February 13, 2013",1349704,41868,90792,90794
"February 14, 2013",1229363,45125,98922,85607
"February 18, 2013",1141825,44459,87028,81671
"February 19, 2013",1087256,47206,83552,78033
"February 20, 2013",862261,40618,69409,65423
"February 21, 2013",1183854,42747,93389,79678
"February 22, 2013",2106,268,158,155
"February 25, 2013",1203117,41190,88232,86802
"February 26, 2013",1168685,48627,92109,90498
"February 27, 2013",1028804,41452,81730,81193
"February 28, 2013",1135087,42043,93398,80284
"March 4, 2013",1203607,45707,90458,85536
"March 5, 2013",1184094,50940,92119,85978
"March 6, 2013",882481,38812,70269,64340
"March 7, 2013",1273254,45852,101208,86481
"March 11, 2013",1227524,46615,93614,85166
"March 12, 2013",1304245,52043,98233,90838
"March 13, 2013",1094881,40814,80030,75098
"March 14, 2013",1330232,47060,105231,91372
"March 15, 2013",6839,55,324,315
"March 18, 2013",1157229,46187,90523,85267
"March 19, 2013",1086066,48587,85821,79213
"March 20, 2013",936592,40181,75597,71336
"March 21, 2013",1127906,44838,91754,77301
"March 25, 2013",1183278,45005,87953,84789
"March 26, 2013",1124207,48238,89012,84563
"March 27, 2013",962505,39564,75118,72411
"March 28, 2013",1136604,43525,93842,78129
"April 1, 2013",1208604,44273,92483,90009
"April 2, 2013",1299789,50493,102657,98966
"April 3, 2013",920394,40236,76181,72648
"April 4, 2013",1293669,46028,108536,96103
"April 8, 2013",1383420,47970,107751,103830
"April 9, 2013",1415541,50203,111197,111339
"April 10, 2013",1235590,39839,95763,98926
"April 11, 2013",1322607,45929,104150,91650
"April 15, 2013",1173363,45025,88909,86063
"April 16, 2013",1195489,50950,95854,90710
"April 17, 2013",871370,38909,70294,67128
"April 18, 2013",1209664,45004,100964,87612
"April 19, 2013",922,11,192,55
"April 22, 2013",1287995,46382,97408,93519
"April 23, 2013",1124117,49737,89368,82885
"April 24, 2013",943615,41153,75898,73559
"April 25, 2013",1365051,45335,106344,98010
"April 29, 2013",1532050,47939,114097,109791
"April 30, 2013",1378788,55448,106060,103754
"May 1, 2013",978563,41361,75626,74571
"May 2, 2013",1211797,45593,98781,89797
"May 3, 2013",847,2,132,132
"May 6, 2013",1278556,47410,99659,99158
"May 7, 2013",1405944,51809,108215,111805
"May 8, 2013",1294787,41477,92592,96493
"May 9, 2013",1242454,45947,101684,90977
"May 10, 2013",4229,6,240,240
"May 13, 2013",1275603,45944,96855,95086
"May 14, 2013",1251088,51525,99367,96184
"May 15, 2013",978562,39976,78629,77091
"May 16, 2013",1264035,46024,103651,93800
"May 20, 2013",1258532,47895,95598,95479
"May 21, 2013",1416032,55957,109875,106728
"May 22, 2013",1093872,44270,86179,86790
"May 23, 2013",1391595,47868,113497,99057
"May 24, 2013",20810,921,1516,1375
"May 28, 2013",1370583,48245,101625,97311
"May 29, 2013",1370905,51448,105008,103820
"May 30, 2013",1008997,43062,78908,76360
"May 31, 2013",1291535,41736,99799,92610
"June 3, 2013",1126742,43679,87758,84605
"June 4, 2013",1274892,49576,97871,92897
"June 5, 2013",1112040,40529,82031,80593
"June 6, 2013",1241798,44378,100663,87152
"June 7, 2013",900,5,60,45
"June 10, 2013",1283808,46936,96921,91122
"June 11, 2013",1207442,50894,95711,89123
"June 12, 2013",1060579,40287,80882,79589
"June 13, 2013",1151494,42026,93585,81520
"June 14, 2013",941290,33442,73968,73059
"June 15, 2013",1036931,38388,77890,76932
"June 17, 2013",1019344,34089,72233,73772
"June 18, 2013",1151548,42082,95274,82222
"June 21, 2013",27390,1255,2039,2010
"June 22, 2013",6043,231,659,489
"June 24, 2013",1636942,57117,122626,116258
"June 25, 2013",1661535,69093,132345,124175
"June 26, 2013",1206420,49003,96400,92118
"June 27, 2013",1586056,50070,123612,109253
"June 28, 2013",1426,26,66,71
"July 1, 2013",1322178,51410,101944,96365
"July 2, 2013",1476256,59442,114893,105840
"July 3, 2013",995528,45666,82406,75375
"July 4, 2013",1152507,44421,93471,81495
"July 8, 2013",1352504,49711,102313,95795
"July 9, 2013",991925,40635,75457,75295
"July 10, 2013",1463349,59694,114299,108884
"July 11, 2013",1201377,41005,102617,85719
"July 15, 2013",1365678,51389,107378,98060
"July 16, 2013",1099477,46819,88378,84822
"July 17, 2013",967307,45650,79616,69961
"July 18, 2013",1052865,37043,87597,75396
"July 19, 2013",1096,12,72,114
"July 22, 2013",1276649,51834,104141,95141
"July 23, 2013",942055,43417,74770,73569
"July 24, 2013",1175364,52343,96295,88098
"July 25, 2013",941116,35300,80450,66681
"July 29, 2013",1590141,53392,119512,111992
"July 30, 2013",976906,43081,79535,77194
"July 31, 2013",1293367,57106,104133,97740
"August 1, 2013",1008883,35817,82050,69504
"August 2, 2013",399,16,18,17
"August 5, 2013",1567228,53001,117958,111737
"August 6, 2013",1082242,43857,83766,85263
"August 7, 2013",1320990,56340,103657,97007
"August 8, 2013",1111816,37491,89064,78103
"August 12, 2013",1492418,51232,115906,112710
"August 13, 2013",1107802,44529,85093,86683
"August 14, 2013",1245168,52174,100145,97261
"August 15, 2013",1042622,35915,84968,70894
"August 16, 2013",18157,816,1913,1215
"August 19, 2013",1492890,52005,112008,104948
"August 20, 2013",1012087,41309,75563,72285
"August 21, 2013",1292551,56201,101612,92086
"August 22, 2013",1061597,37314,88037,75631
"August 26, 2013",1690067,58774,129837,125781
"August 27, 2013",1029495,43273,78756,76047
"August 28, 2013",1550064,60548,117124,108300
"August 29, 2013",1415633,40904,107050,93540
"August 30, 2013",10710,587,1227,793
"September 3, 2013",1466301,54830,111612,104044
"September 4, 2013",1072615,47852,84063,83429
"September 5, 2013",1395236,60371,111715,104586
"September 6, 2013",847397,30242,70670,61339
"September 9, 2013",1450974,56231,112168,103903
"September 10, 2013",837108,38225,65740,64781
"September 11, 2013",1143730,52445,89754,83463
"September 12, 2013",979188,35215,79600,67595
"September 16, 2013",1295257,50491,99546,90435
"September 17, 2013",925407,39998,72017,70793
"September 18, 2013",1140704,52722,92803,84700
"September 19, 2013",947289,35862,79947,67586
"September 20, 2013",3136,180,299,292
"September 23, 2013",1282532,47123,97737,90064
"September 24, 2013",838238,36688,65477,63743
"September 25, 2013",1168762,54693,91847,83275
"September 26, 2013",933662,34474,79066,65829
"September 30, 2013",1399158,52736,106959,99559
"October 1, 2013",1093397,39082,82682,85634
"October 2, 2013",1780246,56345,135095,135874
"October 3, 2013",1537076,43979,120096,109657
"October 4, 2013",3516318,24232,207867,244919
"October 7, 2013",1888585,49929,136261,139714
"October 8, 2013",893795,37975,69071,66437
"October 9, 2013",1276530,53669,99201,90920
"October 10, 2013",1320977,41859,102011,86578
"October 11, 2013",3278998,21960,191400,209271
"October 14, 2013",1901716,52200,123007,112211
"October 15, 2013",1191655,40334,85741,84246
"October 16, 2013",1614926,54697,120325,113493
"October 17, 2013",1113173,35144,82408,69636
"October 21, 2013",1426510,49561,108748,100654
"October 22, 2013",1006044,37741,76284,73563
"October 23, 2013",1386543,53363,103991,96909
"October 24, 2013",1103631,36985,90446,75516
"October 25, 2013",9224,287,499,439
"October 28, 2013",1425527,50854,107378,99045
"October 29, 2013",955399,38720,75410,73030
"October 30, 2013",1255024,53103,97714,90146
"October 31, 2013",1170517,37749,96142,83468
"November 1, 2013",4916,177,592,338
"November 4, 2013",1337659,52273,105826,94037
"November 5, 2013",798778,37618,64611,60826
"November 6, 2013",1124708,52910,92764,81156
"November 7, 2013",1070998,38863,86981,70404
"November 8, 2013",17594,958,1390,1066
"November 11, 2013",1331749,50558,100362,91695
"November 12, 2013",878397,37683,65749,63959
"November 13, 2013",1429341,59794,109082,99968
"November 14, 2013",1006631,36111,84313,69296
"November 15, 2013",5194,273,276,282
"November 18, 2013",1525358,53994,113729,105047
"November 19, 2013",1008897,43788,77672,75085
"November 20, 2013",1290716,57065,98451,92163
"November 21, 2013",1158050,38551,90856,77503
"November 22, 2013",933165,35129,69582,64978
"November 23, 2013",671282,29184,50873,50947
"November 25, 2013",1055313,48297,80976,74318
"November 26, 2013",1078752,39594,85878,71695
"November 27, 2013",73453,3890,5633,3962
"December 2, 2013",1812808,70108,135545,122820
"December 3, 2013",1197115,50974,89194,82191
"December 4, 2013",1642175,67177,125442,112146
"December 5, 2013",1331116,46545,101509,85467
"December 6, 2013",18231,1042,1063,901
"December 9, 2013",1628952,58743,118585,109284
"December 10, 2013",1082895,42001,78487,76411
"December 11, 2013",1416655,58831,107071,98003
"December 12, 2013",1273262,43242,101503,86585
"December 13, 2013",31238,1615,2617,1659
"December 16, 2013",1683128,61131,121927,111532
"December 17, 2013",1170023,49682,86894,83251
"December 18, 2013",1586956,73945,120689,109162
"December 19, 2013",1447201,50168,109711,92197
"December 20, 2013",1259531,50332,87394,81999
"December 21, 2013",777240,37004,55512,54003
"December 23, 2013",1205479,59748,88902,79149
"December 24, 2013",62568,4175,4497,3391
"December 26, 2013",1345888,54005,100260,84074
"December 27, 2013",1750580,71586,121352,110510
"December 28, 2013",989463,46806,71664,69138
"December 30, 2013",1407311,64374,101954,91736
"December 31, 2013",95071,4310,6600,5100
"January 2, 2014",881752,34928,73079,60389
"January 6, 2014",1721282,64121,129743,122415
"January 7, 2014",970399,43762,75037,72716
"January 8, 2014",1461004,55738,110971,102945
"January 9, 2014",1029327,34764,84100,72429
"January 13, 2014",1220346,45637,97686,89083
"January 14, 2014",823538,36376,65178,61866
"January 15, 2014",1124422,51662,92811,83514
"January 16, 2014",884646,34012,74374,62372
"January 17, 2014",1971,81,123,164
"January 20, 2014",1295526,47993,101723,96724
"January 21, 2014",821258,34298,65333,65815
"January 22, 2014",1237133,49466,97634,96244
"January 23, 2014",1018463,35496,81764,73006
"January 27, 2014",1779446,49791,127721,130103
"January 28, 2014",1091828,35781,81004,82449
"January 29, 2014",1604100,52380,119408,118447
"January 30, 2014",1070225,35477,91054,76140
"January 31, 2014",9264,275,740,579
"February 3, 2014",1454699,48467,107779,101889
"February 4, 2014",899937,34698,69349,70666
"February 5, 2014",1378062,51520,105316,101466
"February 6, 2014",1180868,35311,91572,86559
"February 10, 2014",1749518,52250,124792,122875
"February 11, 2014",910802,36262,68849,69103
"February 12, 2014",1379417,55497,104397,95301
"February 13, 2014",1204227,40868,94477,81666
"February 17, 2014",1291362,51416,100139,90407
"February 18, 2014",788111,36474,62782,61259
"February 19, 2014",1155363,52499,91824,84985
"February 20, 2014",1051512,36365,86884,74290
"February 24, 2014",1553721,52628,117581,110225
"February 25, 2014",860932,37062,65108,67050
"February 26, 2014",1236499,56519,94434,89537
"February 27, 2014",1088254,37044,86659,75040
"March 3, 2014",1500462,55639,107772,103968
"March 4, 2014",832118,35268,64136,64128
"March 5, 2014",1332013,56068,102050,94944
"March 6, 2014",1114790,38747,88596,75105
"March 10, 2014",1637019,52176,119623,113305
"March 11, 2014",911751,39582,71886,69009
"March 12, 2014",1240524,52575,97775,91202
"March 13, 2014",1001530,36064,79793,68631
"March 14, 2014",19053,486,1321,1384
"March 17, 2014",1434003,52569,108536,101139
"March 18, 2014",894633,40991,71065,66087
"March 19, 2014",1126452,52619,89589,82160
"March 20, 2014",935543,35219,75729,63198
"March 24, 2014",1220351,48463,93947,85941
"March 25, 2014",741711,36929,60145,57394
"March 26, 2014",1047010,50119,84075,76078
"March 27, 2014",865290,34072,72172,60248
"March 31, 2014",1474655,52707,111436,103725
"April 1, 2014",887244,37498,71564,69213
"April 2, 2014",1400017,54455,110538,103920
"April 3, 2014",1187599,38367,92103,81203
"April 7, 2014",1797363,56577,134258,133158
"April 8, 2014",1111935,40488,83375,84006
"April 9, 2014",1571502,57762,118829,115132
"April 10, 2014",1195609,41333,93667,81944
"April 11, 2014",6146,316,386,425
"April 14, 2014",1584983,53570,118556,109985
"April 15, 2014",892758,39103,72235,71052
"April 16, 2014",1146831,53946,93964,83646
