Store Number,Bourbon/Whisky,Brandy,Cocktails/RTD,Cordials & Liqueurs,Delisted & Special Order,Gin,Grain Alcohol,Rum,Temp and Specialty Packages,Tequila,Unknown,Vodka
2106,"532,466","25,398","10,640","509,673","21,377","34,717","7,749","326,923","9,493","137,316",592,"427,895"
2113,"43,528","2,105","1,187","17,316",274,"2,942",78,"25,350","1,091","6,379",,"27,558"
2130,"498,810","107,915","5,742","395,219",615,"35,704","2,623","265,091","4,414","196,374",594,"328,665"
2178,"163,046","28,095","4,199","87,924","1,365","4,080","1,690","87,888","1,594","11,603",,"96,347"
2190,"801,719","649,443","9,402","157,455","162,860","71,843","23,648","109,402","106,357","238,770","19,828","489,473"
2191,"642,119","29,349","2,080","385,515","3,955","30,473","52,457","248,885","33,777","121,144",927,"343,235"
2200,"149,301","4,764","2,395","49,228",,"5,989","5,790","50,533","4,760","25,163",,"48,938"
2228,"157,884","5,346","6,468","66,266",382,"5,051","6,767","37,087","10,464","21,900",,"74,002"
2233,"156,784","6,910","6,688","49,424","1,203","16,345","4,924","51,187","12,377","17,977",171,"94,254"
2238,"46,677","2,027",,"44,197","24,006","6,621",449,"103,999","4,823","26,724","4,185","107,637"
2248,"429,512","66,027","3,548","98,780","46,273","57,269","8,449","38,092","33,370","72,791","2,656","189,369"
2285,"563,231","41,598","3,051","151,243","37,946","111,465","10,536","79,029","11,503","84,730","3,467","296,929"
2327,"26,055","1,115",667,"5,721",,"1,690",13,"4,121","1,207","1,507",,"7,803"
2445,"70,841","4,880","1,542","16,736",,"1,934",205,"13,336",100,"4,011",,"29,390"
2448,"54,396","1,046",566,"27,912",,"3,147",460,"20,843","1,486","5,895",151,"51,035"
2459,"60,799","3,710","1,824","16,614",630,"1,746","1,134","13,508",,"3,808",,"34,063"
2460,,,,,191,,,,,,,
2465,"165,076","17,108","3,055","97,837",,"13,466","9,728","59,362","4,421","40,794",81,"122,030"
2475,"85,299","7,686","1,406","16,336","1,185","5,086","1,099","29,681",403,"4,097",,"26,342"
2478,"147,547","11,952",,"33,933",,"17,551",,"56,343",41,"31,015",,"127,900"
2500,"654,479","37,301","43,238","293,967",612,"72,885","9,844","307,923","11,337","126,625",953,"591,145"
2501,"762,776","47,285","65,729","286,092","4,434","86,267","17,175","317,405","29,269","121,025","1,632","593,759"
2502,"844,620","42,615","109,966","318,728","2,038","71,837","22,867","310,750","63,564","101,413","1,301","767,971"
2505,"374,493","15,623","25,507","214,708",592,"18,273","5,557","124,694","18,735","34,695",606,"200,122"
2506,"720,540","59,091","31,597","310,593","1,209","62,648","18,157","216,521","15,010","99,621",410,"523,395"
2507,"100,226","34,599","4,042","36,872",,"12,087",733,"42,684",876,"13,404",,"99,647"
2508,"392,878","35,805","43,557","189,173","4,139","31,809","6,206","172,290","24,354","65,777","2,358","361,168"
2509,"276,771","32,775","14,317","195,904",,"13,711","4,309","100,649","7,313","28,543",693,"256,258"
2512,"2,127,839","107,834","90,663","1,074,638","27,620","307,612","43,882","627,839","88,201","647,058","4,083","2,097,301"
2513,"352,973","44,266","21,412","117,867","1,644","68,672","4,428","88,468","5,230","53,196",225,"308,654"
2514,"123,110","6,080","12,584","40,058",,"8,969",104,"46,299","5,845","9,065",153,"158,076"
2515,"940,969","41,855","47,969","341,357","24,833","57,668","15,544","330,750","102,668","272,903","2,581","638,378"
2517,"399,710","23,648","27,961","194,685","1,167","33,504","11,796","140,790","22,335","57,508",225,"329,199"
2518,"262,888","10,829","15,385","112,647","1,055","11,424","10,153","74,546","12,003","23,827",391,"135,955"
2521,"475,263","52,083","52,271","284,060","3,954","62,945","7,667","152,710","14,358","217,008","1,776","520,912"
2522,"409,059","17,767","28,123","193,231",50,"52,558","24,410","186,776","8,517","67,511",360,"336,975"
2523,"268,775","7,506","14,153","135,032","1,037","7,483","2,170","109,203","24,727","23,727",499,"133,023"
2524,"650,561","46,525","26,743","311,071","1,475","60,863","7,379","333,697","50,834","136,398",190,"780,379"
2527,"407,496","78,997","35,053","237,692",921,"25,127","10,607","158,764","29,629","112,106","2,020","460,407"
