Date,sales,ABDState_Bottle_Profit ,Bottles_Sold,Volume_Sold 
January 2012,15916194,664653,1302231,1212082
February 2012,18116104,708994,1457824,1386566
March 2012,18139546,729470,1458665,1352873
April 2012,20004897,756207,1588914,1499567
May 2012,22193521,881696,1782175,1709433
June 2012,21858903,778781,1683434,1618026
July 2012,20697364,834857,1649128,1548759
August 2012,21531283,884395,1734694,1626636
September 2012,18188453,690692,1408375,1308897
October 2012,32713954,929178,2396571,2362801
November 2012,19778515,781519,1542081,1376736
December 2012,26064580,981304,1913312,1752904
January 2013,17838850,743112,1453242,1326089
February 2013,18258606,702708,1404414,1320255
March 2013,18221544,724023,1421106,1298133
April 2013,22162041,830863,1744106,1656555
May 2013,22409325,838478,1747436,1684864
June 2013,19734621,733106,1532594,1437005
July 2013,22637647,909371,1809277,1663536
August 2013,21552820,802101,1675752,1559805
September 2013,19126693,780378,1511020,1389416
October 2013,32145811,909769,2311777,2241360
November 2013,17800950,716711,1385596,1248726
December 2013,26214887,1067544,1938372,1750708
January 2014,20045933,742035,1569483,1467400
February 2014,19183282,714880,1471942,1382314
March 2014,19328906,770293,1499646,1377646
April 2014,22639172,843342,1757024,1637260
May 2014,20966264,796120,1623101,1541197
June 2014,24429678,888656,1843349,1727003
July 2014,21947353,894166,1744062,1602278
August 2014,21170887,829431,1658930,1529544
September 2014,23435553,829952,1745361,1617235
October 2014,26542408,894486,1976014,1867398
November 2014,20272760,765273,1536083,1379795
December 2014,30625542,1171284,2241264,2028542
January 2015,18498508,760594,1459538,1321350
February 2015,21224352,778604,1591962,1494081
March 2015,23262370,872254,1752114,1579862
April 2015,22857263,879341,1762273,1597904
May 2015,22437371,836728,1683839,1602766
June 2015,27089683,1008131,2057771,1883666
July 2015,22414165,885640,1729239,1570713
August 2015,22116398,865109,1740078,1558104
September 2015,24113360,925691,1839869,1679661
October 2015,25913248,879251,1925849,1774252
November 2015,23718715,883289,1773733,1576465
December 2015,30683138,1185917,2256178,1978878
January 2016,19018055,775480,1471599,1301957
February 2016,22801842,851341,1764680,1648110
March 2016,23706446,954214,1848907,1605509
April 2016,22667025,846332,1734437,1559815
May 2016,25819176,988754,1983846,1823961
June 2016,27338670,1026479,2121372,1907398
July 2016,21988266,852751,1692319,1519271
August 2016,24471459,1012645,1781231,1587702
September 2016,25318594,921277,1904254,1728796
October 2016,27311210,989321,2012889,1785493
November 2016,26432735,1015854,1992304,1741649
December 2016,32574087,1183229,2362480,2090602
January 2017,20068373,857748,1598820,1359768
February 2017,23086289,794934,1748381,1622075
March 2017,25019491,953902,1945339,1669404
April 2017,23176630,871792,1799276,1584325
May 2017,28227486,1058675,2151064,1946476
June 2017,28626062,1022724,2202624,1961079
July 2017,25200615,933976,1954350,1739276
August 2017,27647610,1057234,2210764,1901481
September 2017,24463708,868174,1841327,1651397
October 2017,30779422,1023430,2234662,1959417
November 2017,26848928,1005153,2022265,1724606
December 2017,31385431,1122721,2281145,1977548
January 2018,22606807,952236,1825656,1515722
February 2018,22861176,831157,1756603,1541561
March 2018,24873041,940705,1925462,1629003
April 2018,26214747,961656,2017589,1767688
May 2018,30180818,1101787,2343951,2067618
June 2018,28574027,1008988,2178069,1913408
July 2018,26194368,949913,2045236,1754941
August 2018,30507641,1086515,2333500,2025107
September 2018,23804291,856949,1828704,1576146
October 2018,34609253,1100085,2507113,2150140
November 2018,28764343,1026070,2171054,1801355
December 2018,35026330,1191520,2502103,2153294
January 2019,23466783,954158,1903122,1561963
February 2019,24641910,864207,1898027,1680942
March 2019,49965457,1812326,3834522,3214305
April 2019,27788608,1003481,2200651,1856194
May 2019,32756773,1125645,2511118,2173323
June 2019,28877031,991512,2209798,1862668
